年月,品目,規格,地域,値,単位,状態,出典,注記
2026-07,セメント,,全国,3.19,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: セメント （ バラ物 ）
2026-07,生コンクリート,,全国,3.26,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: 生コンクリート
2026-07,骨材（砂）,,全国,3.3,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: 骨材 （ 砂 ）
2026-07,骨材（砂利）,,全国,3.32,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: 骨材（砂利）
2026-07,骨材（砕石）,,全国,3.3,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: 骨材（砕石）
2026-07,骨材（再生砕石）,,全国,3.2,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: 骨材（再生砕石）
2026-07,アスファルト,,全国,3.51,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: アスファルト合材 （ 新材 ： 密粒度アスコン ）
2026-07,異形棒鋼,,全国,3.6,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: 異形棒鋼 （ ＳＤ２９５Ａ Ｄ16）
2026-07,H形鋼,,全国,3.67,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: Ｈ形鋼 （ 広幅200×100×5.5×8㎜ ）
2026-07,木材（製材）,,全国,3.31,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: 木材（製材）
2026-07,木材（型枠用合板）,,全国,3.58,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: 木材 （ 型枠用合板 ）
2026-07,軽油,,全国,3.36,動向評価値,confirmed,e-Stat 主要建設資材需給・価格動向調査 2026年7月,e-Stat 主要建設資材需給・価格動向調査（価格動向・今回調査）: 石油（ 軽油 ：１、２号 ）
