年月,品目,規格,地域,値,単位,状態,出典,注記
2026-03,特殊作業員,所定労働時間内8時間当たり,北海道,26000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,北海道,21500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,北海道,30200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,北海道,28200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,青森県,30100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,青森県,22200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,青森県,32700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,青森県,36000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,岩手県,28500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,岩手県,23700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,岩手県,32500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
