file,expected_tree_code,expected_quantity,unit,width_m,depth_m,height_m
drawing_001.png,SOIL_EXCAVATION,1002.4,m3,17.5,17.9,3.2
drawing_002.png,SOIL_EXCAVATION,342.8,m3,18.5,10.9,1.7
drawing_003.png,SOIL_EXCAVATION,652,m3,9.9,17.8,3.7
drawing_004.png,SOIL_EXCAVATION,757.8,m3,19.4,18.6,2.1
drawing_005.png,SOIL_EXCAVATION,341.6,m3,8.9,10.1,3.8
drawing_006.png,SOIL_EXCAVATION,696.8,m3,15.3,19.8,2.3
drawing_007.png,SOIL_EXCAVATION,443.6,m3,11.5,13.3,2.9
drawing_008.png,SOIL_EXCAVATION,1223.6,m3,19,18.4,3.5
drawing_009.png,SOIL_EXCAVATION,665.9,m3,17.9,12.4,3
drawing_010.png,SOIL_EXCAVATION,397.8,m3,9.6,14.8,2.8
