年月,品目,規格,地域,値,単位,状態,出典,注記
2025-01,H形鋼,SS400 H-200x100,全国,85000,円/t,confirmed,サンプル公開統計,サンプルデータ
2025-02,H形鋼,SS400 H-200x100,全国,85500,円/t,confirmed,サンプル公開統計,サンプルデータ
2025-03,H形鋼,SS400 H-200x100,全国,86000,円/t,confirmed,サンプル公開統計,サンプルデータ
2025-04,H形鋼,SS400 H-200x100,全国,87000,円/t,confirmed,サンプル公開統計,サンプルデータ
2025-05,H形鋼,SS400 H-200x100,全国,87500,円/t,confirmed,サンプル公開統計,サンプルデータ
2025-06,H形鋼,SS400 H-200x100,全国,88000,円/t,confirmed,サンプル公開統計,サンプルデータ
2025-07,H形鋼,SS400 H-200x100,全国,89000,円/t,confirmed,サンプル公開統計,サンプルデータ
2025-08,H形鋼,SS400 H-200x100,全国,90000,円/t,confirmed,サンプル公開統計,サンプルデータ
2025-09,H形鋼,SS400 H-200x100,全国,91000,円/t,confirmed,サンプル公開統計,サンプルデータ
2025-10,H形鋼,SS400 H-200x100,全国,92000,円/t,confirmed,サンプル公開統計,サンプルデータ
2025-11,H形鋼,SS400 H-200x100,全国,93500,円/t,confirmed,サンプル公開統計,サンプルデータ
2025-12,H形鋼,SS400 H-200x100,全国,94500,円/t,confirmed,サンプル公開統計,サンプルデータ
2026-01,H形鋼,SS400 H-200x100,全国,95500,円/t,confirmed,サンプル公開統計,サンプルデータ
2026-02,H形鋼,SS400 H-200x100,全国,96500,円/t,confirmed,サンプル公開統計,サンプルデータ
2026-03,H形鋼,SS400 H-200x100,全国,97500,円/t,confirmed,サンプル公開統計,サンプルデータ
2026-04,H形鋼,SS400 H-200x100,全国,98500,円/t,confirmed,サンプル公開統計,サンプルデータ
2026-05,H形鋼,SS400 H-200x100,全国,99500,円/t,confirmed,サンプル公開統計,サンプルデータ
2026-06,H形鋼,SS400 H-200x100,全国,100500,円/t,confirmed,サンプル公開統計,サンプルデータ
2026-06,軽油,軽油 1L,全国,135,円/L,confirmed,サンプル公開統計,サンプルデータ
