年月,品目,規格,地域,値,単位,状態,出典,注記
2025-01,建設物価指数,総合,全国,121.5,指数,confirmed,サンプル物価指数,サンプルデータ
2025-02,建設物価指数,総合,全国,121.8,指数,confirmed,サンプル物価指数,サンプルデータ
2025-03,建設物価指数,総合,全国,122.2,指数,confirmed,サンプル物価指数,サンプルデータ
2025-04,建設物価指数,総合,全国,122.9,指数,confirmed,サンプル物価指数,サンプルデータ
2025-05,建設物価指数,総合,全国,123.4,指数,confirmed,サンプル物価指数,サンプルデータ
2025-06,建設物価指数,総合,全国,124.0,指数,confirmed,サンプル物価指数,サンプルデータ
2025-07,建設物価指数,総合,全国,124.6,指数,confirmed,サンプル物価指数,サンプルデータ
2025-08,建設物価指数,総合,全国,125.1,指数,confirmed,サンプル物価指数,サンプルデータ
2025-09,建設物価指数,総合,全国,125.7,指数,confirmed,サンプル物価指数,サンプルデータ
2025-10,建設物価指数,総合,全国,126.4,指数,confirmed,サンプル物価指数,サンプルデータ
2025-11,建設物価指数,総合,全国,127.0,指数,confirmed,サンプル物価指数,サンプルデータ
2025-12,建設物価指数,総合,全国,127.5,指数,confirmed,サンプル物価指数,サンプルデータ
2026-01,建設物価指数,総合,全国,128.1,指数,confirmed,サンプル物価指数,サンプルデータ
2026-02,建設物価指数,総合,全国,128.6,指数,confirmed,サンプル物価指数,サンプルデータ
2026-03,建設物価指数,総合,全国,129.2,指数,confirmed,サンプル物価指数,サンプルデータ
2026-04,建設物価指数,総合,全国,129.9,指数,confirmed,サンプル物価指数,サンプルデータ
2026-05,建設物価指数,総合,全国,130.5,指数,confirmed,サンプル物価指数,サンプルデータ
2026-06,建設物価指数,総合,全国,131.2,指数,confirmed,サンプル物価指数,サンプルデータ
